in:Span,in:Side height,in:Trust Type,in:Segments,in:Midspan deflection,in:Shape exponent,in:Krümmungsanteil,in:MaterialSwitch bottom,in:MaterialSwitch top,in:MaterialSwitch right_dia,in:MaterialSwitch left_dia,in:MaterialSwitch vertical,in:MaterialSwitch column,in:TIMBER Type Switch bottom,in:TIMBER Type Switch top,in:TIMBER Type Switch right dia,in:TIMBER Type Switch left dia,in:TIMBER Type Switch vertical,in:TIMBER Type Switch column,in:STEEL CrossSectionSwitch bottom,in:STEEL CrossSectionSwitch top,in:STEEL CrossSectionSwitch right Diagonal,in:STEEL CrossSectionSwitch left Diagonal,in:STEEL CrossSectionSwitch vertical,in:STEEL CrossSectionSwitch column,in:Diameter_bottom,in:Diameter_top,in:Diameter_r_diagonal,in:Diameter_l_diagonal,in:Diameter_vertical,in:Diameter_column,in:Number of bars_bottom,in:Number of bars_top,in:Number of bars_r_diagonal,in:Number of bars_l_diagonal,in:Number of bars_vertical,in:Number of bars_column,out:wlc_Minimise_CO2,out:imgFile,img
30,1.9,3,11,3.50,1.17,0.68,0,0,0,0,0,0,16,8,10,17,6,14,8,2,4,8,5,2,5,2,3,1,3,5,11,12,4,3,9,6,2229.53865,img_0446.png,img_0446_Front.png
30,1.3,2,14,3.07,1.52,0.47,0,0,0,0,0,0,9,9,11,11,11,10,3,4,5,4,2,1,1,0,2,0,1,2,9,7,4,6,10,9,1330.27632,img_0447.png,img_0447_Front.png
30,2.0,2,14,2.44,1.52,0.49,0,0,0,0,0,0,9,10,12,7,9,7,4,6,4,2,3,4,1,1,2,2,1,3,12,8,6,7,7,9,1702.429371,img_0448.png,img_0448_Front.png
30,2.2,2,12,3.29,1.43,0.51,0,0,0,0,0,0,13,8,9,14,11,11,4,3,6,6,2,1,2,1,2,0,1,2,10,8,4,3,18,9,1718.256785,img_0449.png,img_0449_Front.png
30,1.8,4,12,3.47,1.14,0.72,0,0,0,0,0,0,17,8,10,17,6,15,8,2,4,8,5,2,5,2,3,1,3,5,12,13,5,3,9,6,1809.574798,img_0450.png,img_0450_Front.png
30,1.9,1,13,2.54,1.55,0.48,0,0,0,0,0,0,9,10,11,7,9,7,3,5,4,2,2,3,1,0,1,2,1,2,10,7,5,7,7,9,1662.413074,img_0451.png,img_0451_Front.png
30,1.8,2,13,3.15,1.49,0.53,0,0,0,0,0,0,10,9,10,10,10,9,3,3,5,4,2,1,1,0,1,0,1,1,9,7,4,4,14,10,1671.822757,img_0452.png,img_0452_Front.png
30,1.9,3,11,3.46,1.15,0.73,0,0,0,0,0,0,18,8,12,15,6,17,9,2,5,7,5,2,4,2,3,1,3,4,11,13,5,3,12,6,2270.133119,img_0453.png,img_0453_Front.png
30,1.5,2,10,3.44,1.16,0.71,0,0,0,0,0,0,17,8,11,14,6,15,8,4,4,8,3,2,5,1,2,1,2,4,11,13,4,2,11,6,1422.357238,img_0454.png,img_0454_Front.png
30,2.1,2,13,2.97,1.52,0.55,0,0,0,0,0,0,8,12,10,9,10,11,3,5,5,4,1,3,1,0,2,2,1,1,10,7,6,7,8,10,1739.855231,img_0455.png,img_0455_Front.png
30,1.8,2,10,3.51,1.30,0.69,0,0,0,0,0,0,17,8,11,14,6,14,7,3,4,6,3,2,4,2,2,1,2,4,11,10,3,3,9,7,1615.971751,img_0456.png,img_0456_Front.png
30,1.9,2,11,3.51,1.36,0.64,0,0,0,0,0,0,16,11,8,9,3,15,7,2,5,6,4,2,3,2,2,0,3,4,11,9,3,3,7,7,1669.723726,img_0457.png,img_0457_Front.png
30,1.9,2,11,3.49,1.24,0.66,0,0,0,0,0,0,16,9,10,10,4,14,6,2,4,6,4,1,4,2,2,1,3,4,10,10,3,4,9,6,1683.921368,img_0458.png,img_0458_Front.png
30,1.6,2,14,2.86,1.53,0.63,0,0,0,0,0,0,1,13,11,7,12,6,3,6,5,4,2,3,1,0,2,2,1,2,11,7,7,8,9,11,1338.114075,img_0459.png,img_0459_Front.png
30,2.0,1,14,3.17,1.51,0.62,0,0,0,0,0,0,1,12,11,7,12,6,3,6,4,2,3,4,1,1,1,2,1,2,11,7,6,6,7,11,1676.667256,img_0460.png,img_0460_Front.png
30,1.9,2,11,3.53,1.35,0.64,0,0,0,0,0,0,16,11,8,9,3,15,6,3,5,6,4,2,4,3,2,1,3,4,11,9,3,3,8,8,1671.845425,img_0461.png,img_0461_Front.png
30,1.3,2,14,2.90,1.66,0.64,0,0,0,0,0,0,3,11,9,6,10,7,2,3,5,4,2,2,1,0,1,1,1,2,9,7,3,5,10,10,1359.53378,img_0462.png,img_0462_Front.png
30,1.9,2,11,3.52,1.35,0.63,0,0,0,0,0,0,16,10,8,9,4,14,6,2,5,6,4,2,3,2,2,0,3,4,10,10,3,3,7,7,1666.817495,img_0463.png,img_0463_Front.png
30,1.9,2,11,3.55,1.35,0.64,0,0,0,0,0,0,16,11,8,9,3,15,6,3,5,6,4,2,4,3,2,1,3,4,11,9,3,3,8,8,1673.393904,img_0464.png,img_0464_Front.png
30,2.4,2,13,3.06,1.52,0.46,0,0,0,0,0,0,10,8,10,9,10,10,3,5,5,4,1,3,2,1,2,2,1,1,10,7,6,7,8,10,1783.66104,img_0465.png,img_0465_Front.png
30,1.9,2,11,3.51,1.35,0.64,0,0,0,0,0,0,16,11,8,9,3,15,7,2,5,6,4,2,3,2,2,0,3,4,11,9,3,3,7,7,1670.297729,img_0466.png,img_0466_Front.png
30,1.4,2,14,3.05,1.53,0.5,0,0,0,0,0,0,7,9,10,9,10,10,3,4,5,4,2,2,1,0,1,1,1,2,9,7,4,6,9,10,1351.489666,img_0467.png,img_0467_Front.png
30,1.3,2,14,3.14,1.59,0.63,0,0,0,0,0,0,2,11,9,6,10,6,2,4,5,4,2,1,1,0,2,1,2,1,9,5,9,6,9,12,1305.151783,img_0468.png,img_0468_Front.png
30,1.3,2,14,3.14,1.54,0.46,0,0,0,0,0,0,8,8,10,9,10,10,3,3,5,4,2,1,1,0,1,0,1,2,9,7,3,5,10,9,1329.93864,img_0469.png,img_0469_Front.png
30,1.5,2,13,2.87,1.59,0.62,0,0,0,0,0,0,5,12,9,7,10,8,2,5,5,4,2,2,1,0,2,1,1,1,9,7,8,7,8,11,1295.193892,img_0470.png,img_0470_Front.png
30,1.9,2,12,3.45,1.21,0.69,0,0,0,0,0,0,17,8,11,14,6,18,7,2,4,7,5,1,4,2,3,1,3,4,10,12,3,5,10,6,1756.026056,img_0471.png,img_0471_Front.png
30,2.1,2,13,3.09,1.51,0.49,0,0,0,0,0,0,8,10,11,8,10,8,3,4,5,4,1,2,1,1,2,1,1,1,10,6,6,6,8,10,1723.729482,img_0472.png,img_0472_Front.png
30,1.5,1,12,2.94,1.60,0.61,0,0,0,0,0,0,3,11,10,6,11,6,2,4,6,3,2,1,1,1,2,1,1,1,9,6,8,6,8,11,1603.076102,img_0473.png,img_0473_Front.png
30,1.4,2,14,3.17,1.56,0.46,0,0,0,0,0,0,10,10,11,9,10,9,3,6,6,5,2,2,1,1,1,1,1,2,10,7,3,6,10,10,1345.436973,img_0474.png,img_0474_Front.png
30,1.8,5,13,3.46,1.10,0.77,0,0,0,0,0,0,18,8,13,17,6,18,10,2,4,10,6,3,6,2,4,1,4,5,13,14,6,3,13,6,1187.37988,img_0475.png,img_0475_Front.png
30,1.4,2,14,2.91,1.52,0.52,0,0,0,0,0,0,8,12,10,10,11,11,3,4,5,4,2,2,1,0,2,1,1,2,10,7,4,7,9,10,1350.785385,img_0476.png,img_0476_Front.png
30,1.1,1,9,3.17,1.56,0.46,0,0,0,0,0,0,10,10,11,9,10,9,3,5,5,3,2,2,1,1,1,1,1,2,10,7,3,6,10,10,1788.357284,img_0477.png,img_0477_Front.png
30,1.5,2,14,2.93,1.52,0.59,0,0,0,0,0,0,5,13,10,8,11,10,3,5,5,4,2,2,1,0,2,1,1,1,10,6,7,7,9,11,1317.169361,img_0478.png,img_0478_Front.png
30,1.3,2,14,3.13,1.55,0.59,0,0,0,0,0,0,3,11,11,8,11,6,3,4,5,4,2,1,1,0,1,1,1,1,9,5,6,5,9,11,1361.907436,img_0479.png,img_0479_Front.png
30,1.3,2,14,3.07,1.52,0.47,0,0,0,0,0,0,9,9,11,11,11,6,3,4,5,4,2,1,1,0,2,0,1,2,9,7,4,6,10,9,1330.27632,img_0480.png,img_0480_Front.png
30,1.5,4,11,3.42,1.20,0.71,0,0,0,0,0,0,17,8,13,13,6,17,8,2,4,9,4,3,5,2,3,1,2,5,12,13,5,0,11,6,1731.698557,img_0481.png,img_0481_Front.png
30,1.3,2,14,3.10,1.53,0.46,0,0,0,0,0,0,9,9,11,10,10,9,3,4,5,4,2,1,1,0,1,0,1,2,9,7,3,6,10,9,1328.705434,img_0482.png,img_0482_Front.png
30,1.9,2,12,3.46,1.15,0.73,0,0,0,0,0,0,18,8,12,15,6,17,9,2,4,7,5,1,4,2,3,1,3,4,10,12,5,3,12,6,1648.90017,img_0483.png,img_0483_Front.png
30,1.9,2,11,3.43,1.43,0.61,0,0,0,0,0,0,16,8,9,9,5,13,6,2,5,6,4,2,3,2,2,0,2,4,7,10,3,6,6,6,1647.529912,img_0484.png,img_0484_Front.png
30,1.6,2,14,3.09,1.53,0.47,0,0,0,0,0,0,8,8,11,11,10,10,3,5,4,3,3,3,1,0,1,2,1,2,10,7,3,5,9,9,1309.580957,img_0485.png,img_0485_Front.png
30,1.9,2,12,3.55,1.34,0.61,0,0,0,0,0,0,15,9,9,16,9,11,6,2,4,7,5,1,4,2,3,1,3,4,10,12,3,4,8,7,1718.079607,img_0486.png,img_0486_Front.png
30,1.9,2,11,3.46,1.22,0.68,0,0,0,0,0,0,16,8,10,14,6,13,6,2,4,7,4,1,4,1,3,1,3,4,10,11,3,4,9,6,1691.356044,img_0487.png,img_0487_Front.png
30,1.8,5,13,3.46,1.10,0.76,0,0,0,0,0,0,18,8,13,17,6,18,10,3,4,10,6,3,6,2,4,1,4,5,13,14,6,3,13,6,1184.761563,img_0488.png,img_0488_Front.png
30,1.9,3,11,3.47,1.14,0.72,0,0,0,0,0,0,17,8,10,17,6,15,8,2,4,8,5,2,5,2,3,1,3,5,12,13,5,3,9,6,2264.556721,img_0489.png,img_0489_Front.png
30,2.1,2,14,2.88,1.52,0.49,0,0,0,0,0,0,9,10,12,11,10,9,4,6,4,2,3,3,1,1,2,2,1,3,12,7,4,7,8,9,1761.307766,img_0490.png,img_0490_Front.png
30,1.6,3,11,3.46,1.12,0.73,0,0,0,0,0,0,16,8,11,17,6,16,8,2,4,8,4,2,5,2,2,1,2,5,11,12,4,3,10,6,1817.946691,img_0491.png,img_0491_Front.png
30,1.8,2,10,3.51,1.30,0.67,0,0,0,0,0,0,16,11,9,10,2,16,7,3,4,6,3,2,4,2,2,1,2,4,11,10,3,3,9,7,1608.26297,img_0492.png,img_0492_Front.png
30,1.8,2,11,3.42,1.57,0.58,0,0,0,0,0,0,16,9,7,9,5,13,6,2,4,6,4,2,3,1,2,0,2,4,8,10,3,5,6,7,1607.420857,img_0493.png,img_0493_Front.png
30,1.4,2,14,2.93,1.51,0.61,0,0,0,0,0,0,2,13,10,7,11,9,3,5,5,4,1,1,1,0,2,1,1,1,10,6,7,7,9,11,1307.111677,img_0494.png,img_0494_Front.png
30,1.5,1,12,2.90,1.66,0.64,0,0,0,0,0,0,3,11,9,6,10,7,2,4,5,5,2,3,2,0,1,2,1,2,6,8,9,6,8,12,1607.970628,img_0495.png,img_0495_Front.png
30,1.4,2,14,3.01,1.64,0.53,0,0,0,0,0,0,7,10,11,8,10,10,3,4,5,4,2,1,1,0,1,1,1,1,8,6,4,7,10,11,1354.420128,img_0496.png,img_0496_Front.png
30,1.7,2,11,3.51,1.30,0.65,0,0,0,0,0,0,16,9,8,13,5,14,7,2,4,7,4,2,4,2,2,1,3,4,11,10,3,3,8,7,1635.54855,img_0497.png,img_0497_Front.png
30,1.8,5,13,3.46,1.10,0.76,0,0,0,0,0,0,18,8,14,17,6,18,9,2,4,10,6,3,6,2,4,1,4,5,13,14,6,2,13,6,1184.761563,img_0498.png,img_0498_Front.png
30,1.8,2,11,3.46,1.22,0.68,0,0,0,0,0,0,16,8,10,13,5,14,7,2,4,6,4,1,4,2,2,1,2,4,10,11,3,4,9,6,1670.250568,img_0499.png,img_0499_Front.png
30,2.1,2,14,2.75,1.52,0.54,0,0,0,0,0,0,8,12,13,9,11,8,3,6,4,2,3,4,1,1,2,2,0,2,11,7,4,7,7,9,1772.37041,img_0500.png,img_0500_Front.png
30,1.8,2,10,3.51,1.34,0.65,0,0,0,0,0,0,16,10,8,10,3,14,7,2,4,6,3,2,3,2,2,0,2,4,11,9,3,3,7,7,1598.472356,img_0501.png,img_0501_Front.png
30,1.8,2,11,3.47,1.18,0.72,0,0,0,0,0,0,17,8,11,15,6,16,8,2,4,8,4,2,5,2,3,1,3,4,11,11,3,3,12,6,1691.190852,img_0502.png,img_0502_Front.png
30,1.4,2,14,2.93,1.51,0.61,0,0,0,0,0,0,1,13,11,7,12,6,3,5,5,4,1,1,1,0,2,1,1,1,10,6,7,7,9,11,1307.111677,img_0503.png,img_0503_Front.png
30,1.8,2,10,3.51,1.31,0.65,0,0,0,0,0,0,16,10,8,10,3,15,6,3,4,6,3,2,4,2,2,1,2,4,11,9,3,2,8,7,1600.041939,img_0504.png,img_0504_Front.png
30,1.7,2,13,3.01,1.54,0.58,0,0,0,0,0,0,8,8,9,7,10,8,2,5,5,4,1,2,1,0,2,1,1,1,9,7,7,7,8,10,1655.35516,img_0505.png,img_0505_Front.png
30,1.3,2,14,3.10,1.53,0.46,0,0,0,0,0,0,9,9,11,10,10,9,3,4,5,4,2,1,1,0,1,1,1,2,9,7,3,6,10,9,1328.705434,img_0506.png,img_0506_Front.png
30,1.8,2,11,3.45,1.26,0.66,0,0,0,0,0,0,16,8,9,12,5,13,6,2,4,6,4,1,3,2,2,0,2,4,9,10,3,4,8,6,1658.349197,img_0507.png,img_0507_Front.png
30,1.3,2,14,2.90,1.55,0.61,0,0,0,0,0,0,2,11,9,6,10,7,2,4,5,4,1,1,1,0,1,1,1,1,9,6,5,6,9,10,1355.635617,img_0508.png,img_0508_Front.png
30,1.3,2,14,3.14,1.54,0.46,0,0,0,0,0,0,8,8,10,9,10,10,3,5,5,4,1,3,1,0,1,0,1,2,9,7,3,5,10,9,1329.93864,img_0509.png,img_0509_Front.png
30,1.9,2,12,3.53,1.30,0.63,0,0,0,0,0,0,15,8,9,15,8,12,6,2,4,7,5,1,4,2,3,1,3,4,10,12,3,3,8,6,1728.44214,img_0510.png,img_0510_Front.png
30,1.5,1,12,2.88,1.59,0.61,0,0,0,0,0,0,4,11,9,6,10,6,2,4,5,3,2,1,1,0,2,1,1,1,9,6,8,6,8,11,1599.177678,img_0511.png,img_0511_Front.png
30,1.5,2,14,2.90,1.66,0.64,0,0,0,0,0,0,3,11,9,6,10,7,2,5,5,4,2,2,1,0,2,1,1,2,9,7,3,5,10,10,1323.517262,img_0512.png,img_0512_Front.png
30,1.8,1,14,3.12,1.68,0.61,0,0,0,0,0,0,1,12,10,7,11,6,3,5,4,2,2,3,1,0,1,1,1,1,10,6,6,6,7,11,1772.551236,img_0513.png,img_0513_Front.png
30,1.8,2,13,3.09,1.51,0.47,0,0,0,0,0,0,8,9,11,8,10,8,3,4,5,4,1,1,1,0,1,0,1,1,9,6,5,6,8,9,1641.071535,img_0514.png,img_0514_Front.png
30,1.8,5,13,3.46,1.10,0.76,0,1,0,0,0,0,18,8,14,17,6,18,9,2,4,10,6,3,6,2,4,1,4,5,13,14,6,2,13,6,307277.325293,img_0515.png,img_0515_Front.png
30,1.7,2,11,3.49,1.35,0.63,0,0,0,0,0,0,16,9,7,12,5,13,6,2,4,6,4,2,3,1,2,0,2,4,10,10,3,3,7,7,1622.691985,img_0516.png,img_0516_Front.png
30,1.8,4,11,3.46,1.18,0.72,0,0,0,0,0,0,16,8,11,14,5,16,8,2,4,8,4,2,5,2,3,1,2,4,10,13,4,3,10,6,1771.579365,img_0517.png,img_0517_Front.png
30,1.8,5,13,3.46,1.10,0.76,0,0,0,0,0,0,18,8,14,17,6,18,9,2,4,10,6,3,6,2,4,2,4,5,13,14,7,3,13,6,1184.761563,img_0518.png,img_0518_Front.png
30,1.1,1,10,3.15,1.55,0.46,0,0,0,0,0,0,9,9,11,9,10,9,3,4,5,3,2,1,1,0,1,0,1,2,9,7,3,6,10,9,1888.271788,img_0519.png,img_0519_Front.png
30,1.3,2,14,3.11,1.54,0.57,0,0,0,0,0,0,4,10,10,7,10,6,2,4,5,4,2,1,0,0,2,0,1,1,9,5,7,6,9,10,1356.21457,img_0520.png,img_0520_Front.png
30,1.4,2,14,2.94,1.60,0.61,0,0,0,0,0,0,3,11,10,6,11,6,2,5,5,4,1,1,1,0,2,1,1,1,9,6,8,6,8,11,1371.222017,img_0521.png,img_0521_Front.png
30,1.3,2,14,3.13,1.55,0.59,0,0,0,0,0,0,2,11,10,7,10,6,2,4,5,4,2,1,1,0,1,1,1,1,9,5,6,5,9,11,1361.907436,img_0522.png,img_0522_Front.png
30,1.4,2,13,3.07,1.57,0.61,0,0,0,0,0,0,4,11,9,7,10,7,2,4,5,4,2,1,1,0,1,1,1,1,9,6,6,5,8,11,1288.63442,img_0523.png,img_0523_Front.png
30,1.3,2,14,3.14,1.54,0.46,0,0,0,0,0,0,8,8,10,9,10,10,3,3,5,4,2,1,1,0,1,0,0,2,9,7,3,5,10,9,1329.93864,img_0524.png,img_0524_Front.png
30,1.3,2,14,3.04,1.52,0.49,0,0,0,0,0,0,8,9,10,10,11,6,3,4,5,4,2,1,1,0,2,0,1,1,9,6,4,6,9,9,1333.99913,img_0525.png,img_0525_Front.png
30,1.8,5,13,3.46,1.10,0.76,0,0,0,0,0,0,18,8,14,17,6,19,9,2,4,10,6,3,6,2,4,1,4,5,13,14,6,2,13,6,1184.761563,img_0526.png,img_0526_Front.png
30,1.5,1,12,2.90,1.66,0.64,0,0,0,0,0,0,2,11,9,6,10,6,2,4,5,5,2,3,2,0,1,2,1,2,6,8,9,6,8,12,1607.970628,img_0527.png,img_0527_Front.png
30,1.8,1,14,3.16,1.52,0.62,0,0,0,0,0,0,1,11,10,6,11,6,2,5,4,2,2,3,1,0,1,1,1,1,10,6,6,6,7,11,1789.235354,img_0528.png,img_0528_Front.png
30,1.8,3,12,3.45,1.15,0.75,0,0,0,0,0,0,17,8,12,15,6,18,7,2,4,8,5,2,4,2,3,1,3,4,10,12,4,3,12,6,2181.862557,img_0529.png,img_0529_Front.png
30,1.8,2,10,3.51,1.35,0.64,0,0,0,0,0,0,16,11,8,9,3,15,7,3,4,6,3,2,4,2,2,1,2,4,11,9,3,3,7,7,1594.158868,img_0530.png,img_0530_Front.png
30,1.7,2,10,3.51,1.30,0.65,0,0,0,0,0,0,16,9,8,12,4,14,7,2,4,6,3,2,4,2,2,1,2,4,11,10,3,3,8,7,1581.678544,img_0531.png,img_0531_Front.png
30,1.8,3,12,3.46,1.14,0.72,0,0,0,0,0,0,16,8,10,14,5,16,9,2,4,8,5,1,5,2,3,1,3,4,10,13,5,3,10,6,2159.034812,img_0532.png,img_0532_Front.png
30,1.8,2,11,3.42,1.57,0.58,0,0,0,0,0,0,16,9,7,9,4,14,6,2,4,6,4,2,3,1,2,0,2,4,8,10,3,5,6,7,1607.420857,img_0533.png,img_0533_Front.png
30,1.3,2,14,3.15,1.55,0.46,0,0,0,0,0,0,9,9,11,9,10,9,3,5,5,4,2,1,1,0,1,0,1,2,9,7,3,6,10,9,1330.076213,img_0534.png,img_0534_Front.png
30,1.9,2,13,3.13,1.54,0.46,0,0,0,0,0,0,10,8,10,9,10,9,3,5,5,3,1,2,1,1,1,1,1,1,10,7,3,6,9,10,1662.708283,img_0535.png,img_0535_Front.png
30,1.3,2,14,3.10,1.53,0.46,0,0,0,0,0,0,9,9,11,10,11,9,3,4,5,4,2,1,1,0,1,0,1,2,9,7,3,6,10,9,1328.705434,img_0536.png,img_0536_Front.png
30,1.8,2,10,3.47,1.23,0.67,0,0,0,0,0,0,16,8,9,12,4,14,7,2,4,6,3,1,4,2,2,1,2,4,10,10,3,3,9,6,1609.203834,img_0537.png,img_0537_Front.png
30,1.6,1,13,2.77,1.52,0.47,0,0,0,0,0,0,9,9,11,7,9,8,3,4,4,2,2,2,1,0,1,1,1,2,9,7,4,6,7,9,1673.255288,img_0538.png,img_0538_Front.png
30,1.9,2,12,3.46,1.15,0.73,0,0,0,0,0,0,18,8,12,15,6,17,9,3,4,7,5,1,4,2,3,1,3,4,10,12,5,3,12,6,1648.90017,img_0539.png,img_0539_Front.png
30,1.8,2,11,3.50,1.39,0.62,0,0,0,0,0,0,16,10,7,9,3,14,6,2,4,6,4,2,3,2,2,0,2,4,10,9,3,3,7,7,1637.922467,img_0540.png,img_0540_Front.png
30,1.4,2,14,2.90,1.59,0.6,0,0,0,0,0,0,3,11,9,6,10,9,2,3,5,4,2,2,1,0,1,1,1,1,9,6,6,6,9,10,1367.209991,img_0541.png,img_0541_Front.png
30,1.3,2,14,3.07,1.52,0.47,0,0,0,0,0,0,9,9,11,8,10,10,3,4,5,4,2,1,1,0,2,0,1,2,9,7,4,6,10,9,1330.27632,img_0542.png,img_0542_Front.png
30,1.3,2,14,2.93,1.63,0.6,0,0,0,0,0,0,4,10,9,7,10,7,2,3,4,3,2,2,1,0,1,1,1,2,9,7,3,5,9,9,1352.582694,img_0543.png,img_0543_Front.png
30,1.3,1,12,3.07,1.53,0.5,0,0,0,0,0,0,6,12,10,8,10,9,3,5,5,3,2,2,1,0,1,1,1,1,10,6,4,6,9,10,1601.597452,img_0544.png,img_0544_Front.png
30,1.3,2,14,3.13,1.55,0.59,0,0,0,0,0,0,3,11,11,8,11,6,3,4,5,4,1,1,1,0,1,1,1,1,9,5,6,5,9,11,1361.907436,img_0545.png,img_0545_Front.png
30,2.0,2,13,2.99,1.52,0.53,0,0,0,0,0,0,8,11,10,9,10,10,3,5,4,3,1,3,1,0,1,2,1,1,10,7,5,6,8,9,1708.184249,img_0546.png,img_0546_Front.png
30,1.3,2,14,2.91,1.54,0.62,0,0,0,0,0,0,2,12,9,6,10,8,2,4,5,4,1,1,1,0,1,1,1,1,9,6,5,5,9,10,1358.759932,img_0547.png,img_0547_Front.png
30,1.8,2,11,3.42,1.57,0.58,0,0,0,0,0,0,16,9,7,9,5,13,6,2,3,6,4,2,3,1,2,0,2,4,8,10,3,5,6,6,1607.420857,img_0548.png,img_0548_Front.png
30,1.8,2,10,3.52,1.34,0.64,0,0,0,0,0,0,16,11,8,9,2,15,6,3,4,6,3,2,4,2,2,1,2,4,11,9,3,2,8,7,1595.360808,img_0549.png,img_0549_Front.png
30,1.8,2,10,3.48,1.23,0.68,0,0,0,0,0,0,16,8,10,13,5,14,7,2,4,6,3,1,4,2,2,1,2,4,10,10,3,3,9,6,1613.826862,img_0550.png,img_0550_Front.png
30,1.3,2,14,3.14,1.54,0.46,0,0,0,0,0,0,9,9,11,9,10,9,5,4,5,4,2,1,1,0,1,0,1,2,9,7,3,6,10,9,1329.93864,img_0551.png,img_0551_Front.png
30,1.3,2,14,3.12,1.54,0.53,0,0,0,0,0,0,5,9,10,7,10,7,2,3,5,4,2,1,0,0,1,0,0,1,9,5,6,5,9,9,1346.627449,img_0552.png,img_0552_Front.png
30,1.8,2,11,3.42,1.57,0.58,0,0,0,0,0,0,16,9,8,12,4,14,6,2,3,6,4,2,3,1,2,0,2,4,8,10,3,5,6,6,1607.420857,img_0553.png,img_0553_Front.png
30,1.8,2,10,3.43,1.52,0.59,0,0,0,0,0,0,16,9,7,9,3,14,6,2,4,6,3,2,3,1,2,0,2,4,8,9,3,4,6,7,1562.843804,img_0554.png,img_0554_Front.png
30,1.6,1,14,3.06,1.55,0.63,0,0,0,0,0,0,1,11,9,6,10,6,2,5,4,2,2,2,1,0,1,1,1,1,9,6,4,5,8,10,1733.52661,img_0555.png,img_0555_Front.png
30,1.4,2,14,2.94,1.60,0.61,0,0,0,0,0,0,3,11,10,6,11,6,2,4,5,4,2,1,1,0,2,1,1,1,9,6,8,6,8,11,1371.222017,img_0556.png,img_0556_Front.png
30,1.7,2,13,3.12,1.53,0.46,0,0,0,0,0,0,9,8,10,9,10,9,3,4,5,3,1,1,1,0,1,1,1,1,9,7,3,6,9,9,1613.549892,img_0557.png,img_0557_Front.png
30,1.7,2,11,3.49,1.36,0.62,0,0,0,0,0,0,16,9,7,9,4,13,6,2,4,6,4,2,3,1,2,0,2,4,10,9,3,3,7,7,1617.97151,img_0558.png,img_0558_Front.png
30,1.8,2,11,3.50,1.39,0.62,0,0,0,0,0,0,16,10,7,9,3,13,6,2,4,6,4,2,3,2,2,0,2,4,10,9,3,3,7,7,1637.922467,img_0559.png,img_0559_Front.png
30,1.7,1,14,3.11,1.51,0.61,0,0,0,0,0,0,1,11,10,6,11,6,2,5,4,2,1,2,1,0,1,1,1,1,10,6,6,6,7,11,1755.958572,img_0560.png,img_0560_Front.png
30,1.6,2,13,3.09,1.52,0.46,0,0,0,0,0,0,8,9,11,9,10,8,3,4,5,4,1,0,1,0,1,0,1,1,9,6,4,6,9,9,1284.22609,img_0561.png,img_0561_Front.png
30,1.8,2,10,3.47,1.23,0.67,0,0,0,0,0,0,16,8,9,12,4,14,7,3,4,6,3,2,4,2,2,1,2,4,10,10,3,3,9,6,1609.203834,img_0562.png,img_0562_Front.png
30,1.3,2,14,3.08,1.57,0.6,0,0,0,0,0,0,3,11,10,7,10,6,2,4,5,4,1,1,1,0,1,1,1,1,9,5,5,5,9,10,1361.431142,img_0563.png,img_0563_Front.png
30,1.8,4,11,3.49,1.24,0.71,0,0,0,0,0,0,17,8,10,13,3,16,7,2,4,9,5,2,5,2,2,1,3,4,12,10,4,2,9,6,1768.117632,img_0564.png,img_0564_Front.png
30,1.7,2,13,3.07,1.52,0.47,0,0,0,0,0,0,9,9,11,8,10,10,3,5,5,4,1,2,1,0,2,1,1,1,9,7,7,7,8,10,1614.989198,img_0565.png,img_0565_Front.png
30,1.6,2,13,3.03,1.54,0.55,0,0,0,0,0,0,8,8,9,7,10,8,2,5,5,4,1,1,1,0,1,0,1,1,9,7,6,6,8,9,1302.114754,img_0566.png,img_0566_Front.png
30,1.3,2,14,2.93,1.58,0.6,0,0,0,0,0,0,3,10,10,7,11,6,2,4,4,3,1,1,1,0,1,1,1,1,9,6,5,6,9,9,1353.924813,img_0567.png,img_0567_Front.png
30,1.3,2,14,3.15,1.55,0.46,0,0,0,0,0,0,9,9,11,9,10,9,3,4,5,4,2,1,1,0,2,0,1,1,9,6,4,6,9,9,1330.076213,img_0568.png,img_0568_Front.png
30,1.4,2,13,2.95,1.52,0.61,0,0,0,0,0,0,1,12,10,7,11,6,2,4,5,4,1,1,1,0,1,1,1,1,9,6,6,6,8,11,1284.494982,img_0569.png,img_0569_Front.png
30,1.4,2,14,2.90,1.56,0.6,0,0,0,0,0,0,1,11,10,6,11,7,2,4,5,4,1,1,1,0,1,1,1,1,9,6,6,6,9,10,1368.029697,img_0570.png,img_0570_Front.png
30,1.7,2,13,3.01,1.54,0.58,0,0,0,0,0,0,8,8,11,10,10,9,2,5,5,4,1,2,1,0,2,1,1,1,9,7,7,7,8,10,1655.35516,img_0571.png,img_0571_Front.png
30,1.6,2,13,3.02,1.53,0.55,0,0,0,0,0,0,8,8,9,7,10,8,2,4,5,4,1,1,1,0,1,0,1,1,9,7,6,6,8,9,1301.949562,img_0572.png,img_0572_Front.png
30,1.4,2,14,2.91,1.59,0.62,0,0,0,0,0,0,1,12,10,6,11,6,2,5,5,4,1,1,1,0,2,1,1,1,9,6,5,6,9,10,1306.188792,img_0573.png,img_0573_Front.png
